id,index_name,index_strike_price,option_type,expiry,entry_start_price,entry_end_price,exit_first_target_price,exit_second_target_price,exit_third_target_price,exit_stop_loss_price,created_at_time,order_id,order_status,quantity,metadata,entry_type
1821,BANKNIFTY,45400,PE,5JUN,-45420,-45379,-45329,-45278,-45227,-45420,2024-01-30 06:28:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0008924685570105608, ""trade_entered"": true}",PULL_BACK_STRATEGY
1822,BANKNIFTY,45500,CE,5JUN,45331,45401,45489,45577,45665,45331,2024-01-30 07:51:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.001546201014942301, ""trade_entered"": true}",PULL_BACK_STRATEGY
1823,BANKNIFTY,45300,PE,5JUN,-45330,-45249,-45149,-45048,-44948,-45330,2024-01-31 04:13:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1824,BANKNIFTY,46000,PE,5JUN,-46034,-45941,-45825,-45709,-45593,-46034,2024-02-01 05:06:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.0020242937010727666, ""trade_entered"": true}",PULL_BACK_STRATEGY
1825,BANKNIFTY,46000,PE,5JUN,-46104,-45980,-45825,-45670,-45514,-46104,2024-02-01 05:22:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.0026989790203858503, ""trade_entered"": true}",PULL_BACK_STRATEGY
1826,BANKNIFTY,46600,PE,5JUN,-46665,-46582,-46478,-46374,-46270,-46665,2024-02-02 06:00:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0004463073380955066, ""trade_entered"": true}",PULL_BACK_STRATEGY
1827,BANKNIFTY,46800,CE,5JUN,46597,46710,46850,46991,47132,46597,2024-02-02 06:54:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.00240847010767467, ""trade_entered"": true}",PULL_BACK_STRATEGY
1828,BANKNIFTY,46300,CE,5JUN,46130,46215,46321,46426,46532,46130,2024-02-02 09:21:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.001832732339936241, ""trade_entered"": true}",PULL_BACK_STRATEGY
1829,BANKNIFTY,45900,PE,5JUN,-45949,-45886,-45807,-45729,-45650,-45949,2024-02-05 06:29:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0013707735390583605, ""trade_entered"": true}",PULL_BACK_STRATEGY
1830,BANKNIFTY,46000,CE,5JUN,45862,45930,46014,46099,46184,45862,2024-02-05 08:40:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.00147615294512098, ""trade_entered"": true}",PULL_BACK_STRATEGY
1831,BANKNIFTY,45900,CE,5JUN,45811,45902,46015,46128,46241,45811,2024-02-05 09:05:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.001969404516559151, ""trade_entered"": true}",PULL_BACK_STRATEGY
1832,BANKNIFTY,45700,CE,5JUN,45633,45688,45757,45826,45895,45633,2024-02-06 04:58:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 2, ""profit_percent"": 0.0018127040304319639, ""trade_entered"": true}",PULL_BACK_STRATEGY
1833,BANKNIFTY,45800,CE,5JUN,45657,45738,45839,45940,46041,45657,2024-02-06 06:57:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0017665584795352647, ""trade_entered"": true}",PULL_BACK_STRATEGY
1834,BANKNIFTY,45600,PE,5JUN,-45729,-45680,-45619,-45557,-45496,-45729,2024-02-06 09:54:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0010748580629130963, ""trade_entered"": true}",PULL_BACK_STRATEGY
1835,BANKNIFTY,45900,CE,5JUN,45695,45828,45996,46163,46330,45695,2024-02-07 06:01:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 2, ""profit_percent"": 0.004379327913905853, ""trade_entered"": true}",PULL_BACK_STRATEGY
1836,BANKNIFTY,45200,PE,5JUN,-45377,-45211,-45003,-44795,-44586,-45377,2024-02-09 04:44:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.003682707641673652, ""trade_entered"": true}",PULL_BACK_STRATEGY
1837,BANKNIFTY,45300,CE,5JUN,45108,45143,45186,45230,45273,45108,2024-02-09 05:58:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0013412768823009831, ""trade_entered"": true}",PULL_BACK_STRATEGY
1838,BANKNIFTY,45300,PE,5JUN,-45290,-45210,-45111,-45012,-44912,-45290,2024-02-09 06:08:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0017562253099937062, ""trade_entered"": true}",PULL_BACK_STRATEGY
1839,BANKNIFTY,45400,CE,5JUN,45263,45294,45332,45370,45408,45263,2024-02-09 08:25:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.001178070578261311, ""trade_entered"": true}",PULL_BACK_STRATEGY
1840,BANKNIFTY,45300,PE,5JUN,-45436,-45379,-45309,-45239,-45168,-45436,2024-02-09 08:49:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.000311370990933291, ""trade_entered"": true}",PULL_BACK_STRATEGY
1841,BANKNIFTY,45400,CE,5JUN,45263,45449,45680,45911,46143,45263,2024-02-12 04:53:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1842,BANKNIFTY,45300,CE,5JUN,45146,45222,45318,45413,45509,45146,2024-02-12 06:33:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0016894170405570973, ""trade_entered"": true}",PULL_BACK_STRATEGY
1843,BANKNIFTY,45100,CE,5JUN,45011,45042,45080,45119,45157,45011,2024-02-12 06:55:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0006838047071516567, ""trade_entered"": true}",PULL_BACK_STRATEGY
1844,BANKNIFTY,44800,CE,5JUN,44651,44731,44832,44933,45034,44651,2024-02-12 08:23:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0018063212300869383, ""trade_entered"": true}",PULL_BACK_STRATEGY
1845,BANKNIFTY,45000,CE,5JUN,44837,44868,44906,44945,44983,44837,2024-02-12 09:04:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0006842224324665631, ""trade_entered"": true}",PULL_BACK_STRATEGY
1846,BANKNIFTY,44900,PE,5JUN,-45035,-44896,-44723,-44549,-44375,-45035,2024-02-13 03:46:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.003095989023716612, ""trade_entered"": true}",PULL_BACK_STRATEGY
1847,BANKNIFTY,45200,CE,5JUN,45064,45216,45406,45595,45784,45064,2024-02-13 06:34:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 2, ""profit_percent"": 0.005028689716486559, ""trade_entered"": true}",PULL_BACK_STRATEGY
